koe;nimi;namn
A;Äidinkieli, suomi;Modersmålet, finska
A5;Suomi toisena kielenä;Finska som andraspråk
BA;Ruotsi, pitkä oppimäärä;Svenska, lång lärokurs
BB;Ruotsi, keskipitkä oppimäärä;Svenska, medellång lärokurs
BI;Biologia;Biologi
CA;Suomi, pitkä oppimäärä;Finska, lång lärokurs
CB;Suomi, keskipitkä oppimäärä;Finska, medellång lärokurs
DC;Pohjoissaame, lyhyt oppimäärä;Nordsamiska, kort lärokurs
EA;Englanti, pitkä oppimäärä;Engelska, lång lärokurs
EC;Englanti, lyhyt oppimäärä;Engelska, kort lärokurs
ET;Elämänkatsomustieto;Livsåskådningskunskap
FA;Ranska, pitkä oppimäärä;Franska, lång lärokurs
FC;Ranska, lyhyt oppimäärä;Franska, kort lärokurs
FF;Filosofia;Filosofi
FY;Fysiikka;Fysik
GC;Portugali, lyhyt oppimäärä;Portugisiska, kort lärokurs
GE;Maantiede;Geografi
HI;Historia;Historia
I;Äidinkieli, inarinsaame;Modersmålet, enaresamiska
IC;Inarinsaame, lyhyt oppimäärä;Enaresamiska, kort lärokurs
KE;Kemia;Kemi
L1;Latina, lyhyt oppimäärä;Latin, kort lärokurs
L7;Latina, pidempi oppimäärä;Latin, längre lärokurs
M;Matematiikka, pitkä oppimäärä;Matematik, lång lärokurs
N;Matematiikka, lyhyt oppimäärä;Matematik, kort lärokurs
O;Äidinkieli, ruotsi;Modersmålet, svenska
O5;Ruotsi toisena kielenä;Svenska som andraspråk
PA;Espanja, pitkä oppimäärä;Spanska, lång lärokurs
PC;Espanja, lyhyt oppimäärä;Spanska, kort lärokurs
PS;Psykologia;Psykologi
Q;- ei käytössä -;- ej i bruk -
QC;Koltansaame, lyhyt oppimäärä;Skoltsamiska, kort lärokurs
SA;Saksa, pitkä oppimäärä;Tyska, lång lärokurs
SC;Saksa, lyhyt oppimäärä;Tyska, kort lärokurs
TC;Italia, lyhyt oppimäärä;Italienska, kort lärokurs
TE;Terveystieto;Hälsokunskap
UE;Evankelis-luterilainen uskonto;Evangelisk-luthersk religion
UO;Ortodoksi uskonto;Ortodox religion
VA;Venäjä, pitkä oppimäärä;Ryska, lång lärokurs
VC;Venäjä, lyhyt oppimäärä;Ryska, kort lärokurs
W;Äidinkieli, koltansaame;Modersmålet, skoltsamiska
YH;Yhteiskuntaoppi;Samhällslära
Z;Äidinkieli, pohjoissaame;Modersmålet, nordsamiska
